SUMMARY OF RUN ../../data/case1.data -- 346 time step
Row 1
	        TIME	      NRiter	      LSiter	         FPR	      Volume	        FOPR	        FOPT	        FGPR	        FGPT	        FWPR
	         DAY	           -	           -	        PSIA	         Ft3	     STB/DAY	         STB	    MSCF/DAY	        MSCF	     STB/DAY
	           -	           -	           -	           -	 Hydrocarbon	           -	           -	           -	           -	           -
	      74.000	         179	         677	 5.04418e+03	 2.64869e+09	 2.00000e+04	 1.48000e+06	 2.47920e+04	 1.93604e+06	 1.87676e-02
	      77.000	         183	         695	 5.05417e+03	 2.64879e+09	 2.00000e+04	 1.54000e+06	 2.46595e+04	 2.01002e+06	 1.85805e-02
	      80.000	         187	         711	 5.06418e+03	 2.64889e+09	 2.00000e+04	 1.60000e+06	 2.45322e+04	 2.08362e+06	 1.83858e-02
	      83.000	         192	         730	 5.07425e+03	 2.64899e+09	 2.00000e+04	 1.66000e+06	 2.44115e+04	 2.15685e+06	 1.81849e-02
	      86.000	         196	         747	 5.08431e+03	 2.64909e+09	 2.00000e+04	 1.72000e+06	 2.42998e+04	 2.22975e+06	 1.79797e-02
	      89.000	         200	         763	 5.09437e+03	 2.64920e+09	 2.00000e+04	 1.78000e+06	 2.42005e+04	 2.30235e+06	 1.77733e-02
	      92.000	         204	         781	 5.10444e+03	 2.64930e+09	 2.00000e+04	 1.84000e+06	 2.41179e+04	 2.37470e+06	 1.75702e-02
	      95.000	         209	         802	 5.11456e+03	 2.64940e+09	 2.00000e+04	 1.90000e+06	 2.40572e+04	 2.44688e+06	 1.73739e-02
	      98.000	         213	         819	 5.12466e+03	 2.64950e+09	 2.00000e+04	 1.96000e+06	 2.40188e+04	 2.51893e+06	 1.71862e-02
	     101.000	         217	         838	 5.13478e+03	 2.64960e+09	 2.00000e+04	 2.02000e+06	 2.40017e+04	 2.59094e+06	 1.70086e-02
	     104.000	         221	         856	 5.14489e+03	 2.64971e+09	 2.00000e+04	 2.08000e+06	 2.40014e+04	 2.66294e+06	 1.68380e-02
	     107.000	         225	         873	 5.15500e+03	 2.64981e+09	 2.00000e+04	 2.14000e+06	 2.40155e+04	 2.73499e+06	 1.66726e-02
	     110.000	         230	         895	 5.16511e+03	 2.64991e+09	 2.00000e+04	 2.20000e+06	 2.40451e+04	 2.80712e+06	 1.65142e-02
	     113.000	         234	         914	 5.17519e+03	 2.65001e+09	 2.00000e+04	 2.26000e+06	 2.40904e+04	 2.87939e+06	 1.63661e-02
	     116.000	         238	         935	 5.18522e+03	 2.65011e+09	 2.00000e+04	 2.32000e+06	 2.41459e+04	 2.95183e+06	 1.62260e-02
	     119.000	         242	         955	 5.19525e+03	 2.65021e+09	 2.00000e+04	 2.38000e+06	 2.42069e+04	 3.02445e+06	 1.60915e-02
	     122.000	         246	         974	 5.20527e+03	 2.65031e+09	 2.00000e+04	 2.44000e+06	 2.42683e+04	 3.09726e+06	 1.59584e-02
	     125.000	         250	         992	 5.21523e+03	 2.65042e+09	 2.00000e+04	 2.50000e+06	 2.43278e+04	 3.17024e+06	 1.58246e-02
	     128.000	         255	        1015	 5.22517e+03	 2.65052e+09	 2.00000e+04	 2.56000e+06	 2.43879e+04	 3.24340e+06	 1.56941e-02
	     131.000	         259	        1034	 5.23506e+03	 2.65062e+09	 2.00000e+04	 2.62000e+06	 2.44452e+04	 3.31674e+06	 1.55650e-02
	     134.000	         263	        1054	 5.24494e+03	 2.65072e+09	 2.00000e+04	 2.68000e+06	 2.44972e+04	 3.39023e+06	 1.54343e-02
	     137.000	         267	        1074	 5.25480e+03	 2.65081e+09	 2.00000e+04	 2.74000e+06	 2.45472e+04	 3.46387e+06	 1.53038e-02
	     140.000	         271	        1095	 5.26462e+03	 2.65091e+09	 2.00000e+04	 2.80000e+06	 2.45965e+04	 3.53766e+06	 1.51748e-02
	     143.000	         276	        1118	 5.27441e+03	 2.65101e+09	 2.00000e+04	 2.86000e+06	 2.46422e+04	 3.61159e+06	 1.50449e-02
	     146.000	         280	        1137	 5.28414e+03	 2.65111e+09	 2.00000e+04	 2.92000e+06	 2.46860e+04	 3.68565e+06	 1.49153e-02
	     149.000	         285	        1161	 5.29388e+03	 2.65121e+09	 2.00000e+04	 2.98000e+06	 2.47265e+04	 3.75983e+06	 1.47850e-02
	     152.000	         289	        1182	 5.30355e+03	 2.65131e+09	 2.00000e+04	 3.04000e+06	 2.47642e+04	 3.83412e+06	 1.46548e-02
	     155.000	         293	        1203	 5.31323e+03	 2.65140e+09	 2.00000e+04	 3.10000e+06	 2.47955e+04	 3.90851e+06	 1.45218e-02
